Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_in min/ms,time_signature,Class
77.0,0.564,0.932,11.0,-10.068,1,0.0554,0.013,0.169,0.349,0.619,112.937,146250.0,4,2
10.0,0.573,0.709,4.0,-7.163,0,0.0318,0.118,6.3e-06,0.241,0.574,119.114,231299.0,4,2
30.0,0.425,0.203,9.0,-15.87,1,0.0407,0.673,0.849,0.317,0.457,179.267,330533.0,3,1
25.0,0.253,0.82,9.0,-10.746,1,0.0551,0.0383,0.075,0.107,0.535,162.103,330840.0,4,5
40.0,0.697,0.667,9.0,-6.354,1,0.0395,0.0038,2.08e-06,0.236,0.698,136.051,187059.0,3,2
35.0,0.326,0.922,11.0,-3.04,1,0.0433,0.0091,0.0554,0.164,0.753,192.907,197813.0,4,1
66.0,0.745,0.839,11.0,-6.654,0,0.0489,0.0454,3.09e-05,0.0882,0.226,124.021,193548.0,4,5
48.0,0.632,0.673,3.0,-6.525,1,0.0418,0.0476,2.69e-05,0.107,0.623,88.99,273538.0,4,0
38.0,0.274,0.984,7.0,-3.378,1,0.29,0.00155,0.0503,0.314,0.359,169.235,168824.0,4,0
69.0,0.443,0.727,4.0,-7.951,1,0.145,0.263,0.000141,0.169,0.566,160.82,253333.0,4,1
39.0,0.534,0.868,9.0,-8.532,1,0.0634,0.000776,0.000342,0.358,0.372,140.06,169710.0,4,0
62.0,0.458,0.895,2.0,-3.972,1,0.0681,0.000219,0.000394,0.106,0.357,130.327,243200.0,4,5
38.0,0.689,0.393,1.0,-12.088,1,0.0453,0.828,0.186,0.167,0.523,91.017,230987.0,4,2
23.0,0.605,0.574,1.0,-12.217,1,0.0588,0.744,0.904,0.213,0.176,89.941,230000.0,3,2
58.0,0.741,0.711,11.0,-7.744,0,0.0416,0.0122,0.000696,0.0836,0.649,113.971,265307.0,4,5
33.0,0.647,0.701,9.0,-10.689,0,0.0497,0.407,0.808,0.144,0.369,120.048,293900.0,4,4
47.0,0.456,0.754,6.0,-3.875,0,0.0298,0.195,0.485,0.292,0.521,109.825,255880.0,4,2
67.0,0.246,0.945,9.0,-3.809,1,0.111,0.000905,0.606,0.103,0.318,157.408,238985.0,4,5
43.0,0.441,0.267,6.0,-8.171,1,0.031,0.715,1.48e-06,0.11,0.0566,140.076,279968.0,4,2
32.0,0.342,0.926,2.0,-5.338,1,0.0384,2.18e-05,0.871,0.155,0.425,129.446,235583.0,4,5
43.0,0.79,0.539,10.0,-6.918,1,0.0553,0.313,0.0534,0.106,0.778,95.024,171373.0,4,0
17.0,0.815,0.729,7.0,-6.594,0,0.422,0.00909,0.0181,0.0562,0.0284,132.02,238400.0,4,0
45.0,0.369,0.303,1.0,-11.763,0,0.0564,0.848,0.000298,0.111,0.127,147.439,250453.0,4,1
58.0,0.431,0.957,1.0,-3.071,0,0.106,0.000214,1.77e-06,0.0718,0.263,136.108,241034.0,4,5
36.0,0.505,0.924,2.0,-8.062,1,0.0589,5.6e-05,0.00199,0.339,0.321,102.003,339947.0,4,3
32.0,0.442,0.677,8.0,-9.76,1,0.144,0.513,0.1,0.282,0.649,123.31,762667.0,4,1
58.0,0.618,0.75,5.0,-6.938,0,0.0641,0.324,0.0168,0.431,0.864,88.179,197525.0,4,0
59.0,0.358,0.3,2.0,-9.564,1,0.0423,0.777,3.56e-05,0.0889,0.557,185.132,198787.0,3,0
61.0,0.603,0.503,2.0,-14.862,1,0.0379,0.29,0.00128,0.135,0.647,168.512,335840.0,4,5
56.0,0.422,0.919,2.0,-4.168,0,0.151,0.000245,0.000351,0.21,0.279,149.989,243600.0,4,3
38.0,0.628,0.95,9.0,-6.367,0,0.0652,0.00577,0.483,0.237,0.249,105.008,206347.0,4,3
60.0,0.494,0.735,5.0,-8.347,1,0.0345,0.00401,3.14e-06,0.544,0.742,132.526,283000.0,4,2
57.0,0.603,0.686,11.0,-6.754,1,0.0267,0.17,0.00299,0.17,0.9,89.34,294200.0,4,2
28.0,0.613,0.878,4.0,-5.731,1,0.0313,0.00777,9.2e-05,0.168,0.902,129.991,232699.0,4,1
45.0,0.402,0.924,8.0,-3.433,1,0.0519,0.000356,0.00335,0.0834,0.68,170.739,239747.0,4,5
71.0,0.629,0.58,7.0,-6.208,0,0.0278,0.357,0.000353,0.436,0.655,110.264,210300.0,4,4
45.0,0.245,0.97,10.0,-5.319,0,0.0965,0.00121,0.854,0.317,0.311,178.956,209644.0,4,3
44.0,0.503,0.943,1.0,-7.368,1,0.156,2.77e-05,0.86,0.806,0.199,115.02,229808.0,4,3
27.0,0.749,0.46,9.0,-7.147,1,0.0433,0.738,0.0102,0.0727,0.66,95.801,136147.0,4,1
24.0,0.491,0.504,4.0,-13.581,0,0.0566,0.625,0.794,0.222,0.145,159.911,258771.0,4,2
54.0,0.367,0.903,4.0,-5.956,0,0.175,0.0477,0.00124,0.235,0.239,106.329,281781.0,3,5
63.0,0.33,0.532,2.0,-11.764,1,0.0263,0.00101,0.709,0.101,0.218,93.512,285907.0,4,5
51.0,0.644,0.842,7.0,-4.551,1,0.036,0.0296,0.000386,0.264,0.551,105.138,212280.0,4,2
27.0,0.798,0.783,7.0,-7.061,0,0.0319,0.0205,2.02e-05,0.349,0.839,128.009,212666.0,4,4
13.0,0.392,0.969,1.0,-3.339,1,0.0572,6.64e-06,0.0342,0.29,0.297,99.921,184533.0,4,3
63.0,0.615,0.657,7.0,-6.873,1,0.029,0.000372,0.0204,0.132,0.792,109.95,185093.0,4,5
42.0,0.398,0.664,11.0,-10.003,1,0.0393,0.0923,0.948,0.359,0.19,139.861,399720.0,4,2
35.0,0.467,0.563,1.0,-6.199,0,0.0339,0.214,0.000418,0.364,0.431,172.241,221996.0,4,5
48.0,0.706,0.656,9.0,-4.177,0,0.29,0.034,0.000167,0.163,0.82,165.639,140564.0,4,2
40.0,0.663,0.96,1.0,-4.927,1,0.108,0.0344,0.445,0.371,0.408,130.404,284627.0,4,5
53.0,0.474,0.8,2.0,-10.472,1,0.0775,0.000769,0.0309,0.131,0.156,133.94,283213.0,4,3
37.0,0.447,0.979,5.0,-2.962,0,0.198,0.00537,8.55e-06,0.17,0.0833,111.998,259286.0,4,3
31.0,0.6,0.644,1.0,-9.968,1,0.0331,0.542,0.000174,0.134,0.951,151.409,123600.0,4,5
41.0,0.338,0.844,1.0,-6.577,0,0.0452,3.91e-05,0.00126,0.0774,0.284,135.984,367507.0,4,5
18.0,0.628,0.156,2.0,-15.72,1,0.096,0.995,0.234,0.109,0.366,135.022,178525.0,1,1
37.0,0.536,0.969,6.0,-2.62,0,0.0915,0.43,1.26e-06,0.082,0.805,84.881,239575.0,4,1
43.0,0.718,0.63,4.0,-9.147,0,0.0373,0.0905,0.000169,0.483,0.666,115.537,164524.0,4,2
41.0,0.523,0.957,4.0,-3.236,1,0.0633,0.00315,0.0208,0.124,0.448,162.048,179363.0,4,5
48.0,0.395,0.98,11.0,-3.573,0,0.117,0.000349,0.00361,0.151,0.255,159.974,279227.0,4,5
64.0,0.696,0.923,6.0,-4.647,1,0.272,0.207,0.000741,0.158,0.635,170.003,271854.0,4,5
62.0,0.331,0.5,2.0,-9.119,0,0.0514,0.677,6.61e-06,0.116,0.421,86.963,127465.0,4,2
44.0,0.338,0.136,2.0,-20.596,0,0.0319,0.967,0.929,0.089,0.0572,88.494,301190.0,5,2
38.0,0.312,0.543,9.0,-7.952,1,0.0313,0.0304,0.18,0.107,0.199,133.17,316777.0,4,3
43.0,0.32,0.456,5.0,-9.412,0,0.0337,0.637,2.05e-06,0.116,0.338,118.779,168000.0,4,0
19.0,0.446,0.997,6.0,-3.952,0,0.103,9.44e-05,0.00394,0.391,0.104,155.108,246212.0,4,3
68.0,0.417,0.63,9.0,-7.24,1,0.0898,0.0209,0.0134,0.0543,0.341,94.214,254533.0,4,2
61.0,0.573,0.754,4.0,-4.788,1,0.0329,0.0248,0.00019,0.104,0.241,132.964,231587.0,4,5
34.0,0.565,0.645,10.0,-7.627,0,0.117,0.588,1.55e-06,0.121,0.554,62.316,308040.0,4,0
41.0,0.336,0.988,8.0,-5.357,1,0.2,1.05e-05,0.0473,0.206,0.15,105.843,261560.0,4,3
61.0,0.691,0.854,6.0,-4.542,0,0.068,0.00181,0.00762,0.333,0.833,124.005,212825.0,4,4
59.0,0.449,0.864,9.0,-1.159,0,0.0378,0.0133,1.31e-06,0.0984,0.355,105.121,240467.0,4,5
54.0,0.562,0.47,6.0,-8.876,0,0.087,0.174,0.0297,0.213,0.215,169.925,270973.0,4,3
43.0,0.513,0.763,6.0,-7.425,0,0.057,0.0717,0.919,0.164,0.532,100.005,265665.0,4,3
55.0,0.585,0.556,2.0,-5.075,1,0.0274,0.000686,0.000132,0.151,0.414,142.144,231722.0,4,5
36.0,0.195,0.608,10.0,-8.497,1,0.031,0.0114,0.0145,0.295,0.485,153.379,437600.0,4,5
12.0,0.361,0.487,5.0,-21.52,0,0.239,0.302,0.862,0.363,0.0788,126.346,371382.0,4,2
15.0,0.604,0.818,4.0,-5.76,0,0.0295,0.569,0.761,0.103,0.434,114.999,211298.0,4,2
30.0,0.301,0.972,9.0,-4.91,0,0.274,0.00674,0.758,0.959,0.495,151.413,185867.0,4,5
48.0,0.69,0.584,3.0,-8.864,1,0.0746,0.47,2.46e-05,0.297,0.809,118.017,179693.0,3,1
71.0,0.661,0.618,4.0,-8.422,0,0.313,0.368,0.000563,0.0743,0.81,148.544,201942.0,4,4
37.0,0.428,0.42,4.0,-12.871,0,0.0355,0.145,0.272,0.348,0.107,87.016,420792.0,4,3
85.0,0.548,0.532,5.0,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03,272394.0,4,2
31.0,0.0755,0.0167,5.0,-11.802,1,0.0477,0.162,0.671,0.118,0.0334,75.151,656934.0,3,3
41.0,0.679,0.728,2.0,-9.478,1,0.0325,0.0795,0.0127,0.151,0.748,120.014,188142.0,4,1
58.0,0.779,0.733,9.0,-8.137,0,0.0734,0.0177,0.0011,0.591,0.515,115.009,178714.0,4,2
70.0,0.56,0.825,2.0,-6.711,0,0.0347,0.000785,0.00246,0.0892,0.74,142.669,212600.0,4,2
10.0,0.411,0.49,6.0,-11.926,1,0.0354,0.000239,0.932,0.219,0.0394,115.343,202817.0,3,2
32.0,0.443,0.959,11.0,-7.182,0,0.0586,5.08e-06,0.000452,0.105,0.514,100.017,238200.0,4,3
31.0,0.596,0.932,5.0,-4.331,0,0.034,0.000943,0.0178,0.229,0.839,93.057,142063.0,4,1
8.0,0.55,0.658,1.0,-4.166,1,0.0344,0.81,1.02e-05,0.113,0.828,92.96,167867.0,4,1
39.0,0.473,0.953,7.0,-4.549,1,0.107,3.97e-05,0.00227,0.0465,0.322,138.022,201160.0,4,3
40.0,0.789,0.526,9.0,-12.742,1,0.052,0.0551,0.00286,0.283,0.764,142.727,261920.0,4,1
45.0,0.475,0.971,9.0,-3.541,1,0.102,5.49e-05,0.0124,0.367,0.641,152.868,216213.0,4,5
50.0,0.776,0.844,10.0,-7.092,0,0.0438,0.00395,0.164,0.0963,0.938,124.988,264696.0,4,2
42.0,0.477,0.964,2.0,-4.948,0,0.0563,0.0137,0.0932,0.288,0.299,145.949,181400.0,4,5
88.0,0.669,0.784,7.0,-5.603,1,0.112,0.194,6.28e-06,0.115,0.517,125.993,2.50088333,4,4
72.0,0.724,0.603,10.0,-6.261,0,0.0317,0.183,0.000469,0.0948,0.569,111.493,240880.0,4,4
63.0,0.506,0.275,7.0,-8.464,0,0.0292,0.494,0.00377,0.101,0.0639,153.769,298880.0,3,4
38.0,0.712,0.748,2.0,-6.215,1,0.116,0.614,7.01e-05,0.113,0.536,120.908,201575.0,4,4
48.0,0.751,0.528,5.0,-10.874,0,0.0495,0.5,0.799,0.125,0.342,117.969,232760.0,4,2
29.0,0.395,0.0163,3.0,-20.892,1,0.0608,0.984,0.942,0.111,0.193,72.217,117500.0,3,0
34.0,0.736,0.502,10.0,-9.4,0,0.0587,0.481,0.00028,0.0866,0.296,103.985,151731.0,4,0
60.0,0.371,0.866,9.0,-7.426,1,0.039,5.91e-06,0.58,0.196,0.447,87.254,298253.0,4,5
23.0,0.381,0.886,2.0,-4.174,1,0.0719,2.58e-05,0.654,0.056,0.429,144.99,157820.0,4,5
41.0,0.542,0.82,3.0,-5.452,1,0.0659,0.000288,0.00157,0.453,0.789,153.09,157326.0,4,5
45.0,0.698,0.901,2.0,-6.664,1,0.0392,0.00954,0.415,0.11,0.834,124.973,253053.0,4,2
42.0,0.648,0.577,4.0,-10.153,1,0.0552,0.703,0.000332,0.11,0.887,80.368,238680.0,4,0
13.0,0.433,0.814,4.0,-6.935,1,0.0751,3.38e-05,0.738,0.277,0.685,137.556,235600.0,4,1
56.0,0.311,0.882,2.0,-3.26,1,0.215,0.00895,0.205,0.253,0.435,162.189,317987.0,4,1
62.0,0.443,0.934,5.0,-3.398,0,0.0501,0.00604,6.66e-06,0.0779,0.401,93.43,202800.0,4,5
32.0,0.638,0.515,10.0,-6.633,1,0.0272,0.0063,0.00907,0.0848,0.404,109.967,326907.0,4,4
58.0,0.557,0.32,1.0,-10.792,0,0.0438,0.739,3.99e-05,0.112,0.377,176.647,204533.0,4,0
37.0,0.497,0.886,2.0,-3.314,1,0.0435,0.00929,9.77e-05,0.198,0.508,100.118,283040.0,4,3
46.0,0.723,0.718,8.0,-7.714,0,0.0487,0.0082,0.00105,0.22,0.675,114.014,223160.0,4,2
10.0,0.504,0.5,2.0,-11.329,1,0.0377,0.117,0.548,0.137,0.0753,92.042,595680.0,4,1
37.0,0.531,0.976,7.0,-7.339,1,0.0448,0.000175,7.39e-05,0.392,0.527,115.029,244800.0,4,5
37.0,0.487,0.658,2.0,-11.856,1,0.0342,0.703,0.0396,0.0829,0.793,102.435,235280.0,4,1
30.0,0.494,0.878,7.0,-8.676,1,0.0429,8.76e-06,0.00914,0.112,0.256,119.995,219243.0,4,3
44.0,0.524,0.613,1.0,-10.025,1,0.0256,0.0135,0.653,0.086,0.443,102.399,362960.0,4,5
3.0,0.774,0.497,11.0,-13.448,1,0.0293,0.279,7.14e-06,0.119,0.768,115.994,177400.0,4,5
63.0,0.465,0.517,4.0,-6.189,1,0.0284,0.00854,0.0403,0.209,0.137,136.176,284373.0,3,5
60.0,0.686,0.589,7.0,-8.009,1,0.134,0.748,0.0205,0.0965,0.372,159.991,210720.0,4,4
73.0,0.721,0.521,2.0,-8.123,1,0.0613,0.0708,0.00545,0.127,0.942,123.118,261413.0,4,0
18.0,0.396,0.702,9.0,-7.521,1,0.0411,0.000577,0.02,0.26,0.649,147.951,274065.0,4,1
21.0,0.504,0.441,8.0,-10.01,1,0.21,0.066,0.00897,0.0873,0.602,80.012,250000.0,3,2
26.0,0.47,0.755,2.0,-8.472,1,0.151,0.263,0.0561,0.959,0.431,83.66,623733.0,4,5
14.0,0.461,0.94,9.0,-6.587,1,0.061,0.0059,2.37e-06,0.0808,0.599,148.048,249947.0,4,5
25.0,0.314,0.768,9.0,-7.713,0,0.0588,0.464,0.0419,0.979,0.419,94.369,410280.0,4,5
48.0,0.467,0.851,4.0,-7.116,0,0.0401,0.00364,0.00161,0.136,0.211,160.031,235680.0,4,3
60.0,0.547,0.827,6.0,-4.339,1,0.0282,1.09e-05,0.000125,0.409,0.467,105.913,209480.0,4,5
43.0,0.336,0.947,5.0,-2.247,0,0.0669,0.000731,0.174,0.917,0.205,150.054,199513.0,4,5
49.0,0.557,0.94,2.0,-5.692,1,0.0539,0.000486,0.0163,0.074,0.451,133.301,234753.0,4,5
58.0,0.429,0.854,5.0,-5.404,1,0.0426,0.0012,0.00023,0.239,0.683,135.008,186014.0,4,5
56.0,0.613,0.376,6.0,-8.592,0,0.0377,0.0919,0.324,0.149,0.496,170.2,195627.0,4,0
75.0,0.752,0.764,1.0,-4.399,1,0.038,0.0476,9.44e-05,0.0543,0.582,121.958,163216.0,4,4
38.0,0.439,0.795,2.0,-9.424,1,0.0314,0.00407,0.00114,0.296,0.789,84.846,212067.0,4,2
39.0,0.798,0.866,1.0,-4.532,1,0.153,0.0191,0.415,0.703,0.513,119.546,136787.0,4,2
67.0,0.773,0.505,1.0,-10.357,0,0.0329,0.103,0.000138,0.0729,0.891,124.131,238773.0,4,5
59.0,0.544,0.507,1.0,-4.963,0,0.0314,0.0056,0.000192,0.288,0.151,148.002,177261.0,4,2
22.0,0.309,0.902,11.0,-6.707,0,0.0645,0.00327,0.219,0.214,0.479,177.235,198067.0,4,5
13.0,0.361,0.902,6.0,-3.462,1,0.0524,1.68e-05,0.000329,0.339,0.427,164.976,183091.0,4,5
82.0,0.515,0.43,7.0,-9.935,1,0.0372,0.0097,0.000133,0.129,0.104,91.844,238640.0,4,2
39.0,0.657,0.971,1.0,-9.54,1,0.0863,0.364,0.391,0.544,0.422,98.983,237993.0,4,2
39.0,0.243,0.69,6.0,-10.783,1,0.0497,0.000521,0.000833,0.125,0.114,151.665,358813.0,4,5
27.0,0.688,0.544,7.0,-11.393,0,0.037,0.576,0.000231,0.0894,0.633,135.231,240693.0,4,5
20.0,0.418,0.581,8.0,-11.13,1,0.0316,0.00579,0.676,0.182,0.0706,189.848,139421.0,4,2
30.0,0.538,0.899,9.0,-5.426,1,0.105,0.000942,0.00509,0.0385,0.267,159.941,154251.0,4,5
21.0,0.377,0.746,9.0,-5.87,1,0.0376,2.55e-05,0.902,0.153,0.215,95.04,416198.0,4,5
34.0,0.581,0.833,4.0,-7.904,0,0.0577,0.00757,0.045,0.367,0.154,119.949,216853.0,4,1
41.0,0.52,0.653,1.0,-5.77,1,0.0623,0.00742,0.00415,0.162,0.601,169.948,217267.0,4,3
45.0,0.212,0.239,11.0,-17.042,0,0.0365,0.919,0.942,0.149,0.117,119.345,149752.0,3,0
23.0,0.566,0.686,9.0,-8.101,1,0.0403,9.78e-05,3.62e-05,0.372,0.738,120.952,180224.0,4,0
41.0,0.749,0.463,11.0,-10.398,0,0.0545,0.21,3.43e-06,0.142,0.662,125.023,232928.0,4,5
54.0,0.44,0.466,6.0,-9.712,1,0.0284,0.17,1.03e-06,0.118,0.543,107.744,185253.0,4,5
58.0,0.62,0.502,5.0,-8.613,1,0.029,0.548,0.691,0.135,0.295,112.45,212933.0,4,2
57.0,0.691,0.388,1.0,-12.401,0,0.0537,0.767,0.00337,0.0996,0.304,117.001,186130.0,4,4
52.0,0.37,0.895,11.0,-5.501,1,0.0902,0.00811,2.97e-05,0.0993,0.268,140.818,250267.0,4,5
34.0,0.467,0.814,8.0,-4.917,0,0.0338,0.0362,0.17,0.147,0.321,126.014,298080.0,4,5
48.0,0.629,0.846,5.0,-8.497,0,0.0927,0.0812,0.00265,0.103,0.569,125.462,309373.0,4,5
32.0,0.446,0.263,5.0,-12.264,0,0.0273,0.717,3.7e-05,0.15,0.173,97.877,322000.0,3,4
36.0,0.558,0.977,1.0,-5.082,1,0.211,0.000618,0.0013,0.316,0.473,167.984,190031.0,4,2
56.0,0.542,0.502,3.0,-10.607,0,0.0515,0.195,0.00812,0.174,0.948,174.11,289560.0,4,1
59.0,0.418,0.857,8.0,-5.133,1,0.0404,2.73e-06,0.805,0.368,0.12,140.02,206173.0,4,5
35.0,0.692,0.903,8.0,-6.041,0,0.0566,0.0525,3.8e-06,0.1,0.304,122.093,167213.0,4,4
33.0,0.572,0.704,8.0,-7.891,1,0.0979,0.601,0.565,0.0891,0.604,80.482,186067.0,4,0
42.0,0.719,0.936,5.0,-3.936,1,0.0969,0.00524,5.05e-05,0.36,0.276,103.655,233760.0,4,5
41.0,0.568,0.686,9.0,-6.08,1,0.0284,0.0978,0.0523,0.109,0.886,98.333,262293.0,4,5
56.0,0.604,0.501,6.0,-6.717,1,0.164,0.463,2.49e-05,0.0989,0.909,68.988,178663.0,5,4
74.0,0.854,0.71,4.0,-6.32,0,0.0793,0.0113,8.72e-05,0.166,0.818,106.894,214947.0,4,4
18.0,0.64,0.304,2.0,-10.41,1,0.0522,0.815,0.805,0.0943,0.291,119.316,153529.0,3,2
33.0,0.563,0.939,1.0,-7.322,1,0.061,0.000633,0.00673,0.287,0.587,112.48,154507.0,1,5
42.0,0.567,0.532,2.0,-9.171,1,0.0324,0.191,0.000269,0.143,0.196,122.987,214634.0,4,2
25.0,0.145,0.65,2.0,-7.853,1,0.0373,1.55e-05,0.484,0.0739,0.174,91.648,404987.0,4,3
39.0,0.457,0.962,2.0,-3.334,1,0.159,0.000515,0.00058,0.132,0.137,140.062,260653.0,4,3
38.0,0.411,0.969,1.0,-4.726,1,0.136,0.0256,0.122,0.298,0.245,100.025,239874.0,4,5
52.0,0.525,0.931,3.0,-3.304,0,0.0661,0.00238,1.34e-06,0.129,0.394,138.01,193309.0,4,3
43.0,0.66,0.708,10.0,-9.142,1,0.117,0.101,0.00185,0.0869,0.908,75.219,218307.0,4,2
74.0,0.353,0.898,2.0,-5.877,1,0.052,2.23e-05,0.105,0.39,0.525,103.293,255733.0,4,5
52.0,0.529,0.714,6.0,-6.315,1,0.031,0.00901,6.26e-06,0.0772,0.814,120.598,219800.0,4,5
20.0,0.762,0.685,11.0,-7.599,0,0.0268,0.275,0.00692,0.151,0.664,109.964,217125.0,4,1
62.0,0.737,0.615,8.0,-7.971,1,0.0682,0.0516,0.00219,0.0954,0.717,109.992,170087.0,4,4
22.0,0.795,0.439,9.0,-9.116,1,0.0447,0.0472,0.218,0.0562,0.822,109.96,209973.0,4,2
53.0,0.344,0.911,10.0,-5.997,1,0.054,5.05e-05,0.00166,0.0642,0.51,135.213,320333.0,4,5
35.0,0.512,0.858,4.0,-5.717,0,0.0349,0.0479,1.83e-05,0.374,0.392,125.065,225093.0,4,5
55.0,0.659,0.714,7.0,-9.811,1,0.0321,0.398,1.15e-05,0.174,0.871,125.152,248200.0,4,5
49.0,0.583,0.881,9.0,-4.099,0,0.0904,0.00134,3.49e-05,0.341,0.813,140.09,190487.0,4,5
30.0,0.719,0.591,7.0,-6.855,1,0.0294,0.122,0.000157,0.18,0.573,89.011,250253.0,4,1
43.0,0.352,0.936,7.0,-5.135,1,0.177,5.38e-05,0.000242,0.0851,0.473,199.988,169800.0,4,3
75.0,0.284,0.875,11.0,-6.069,0,0.0422,0.00752,0.000461,0.402,0.595,75.009,340907.0,4,5
77.0,0.577,0.749,5.0,-7.215,0,0.0279,0.599,0.0115,0.183,0.255,130.97,307880.0,4,5
47.0,0.511,0.993,1.0,-3.341,1,0.131,0.000326,8.32e-06,0.288,0.322,129.986,270693.0,5,3
29.0,0.718,0.53,7.0,-9.879,0,0.0443,0.0144,0.0515,0.11,0.789,116.076,201105.0,4,2
21.0,0.464,0.334,9.0,-10.109,0,0.122,0.128,0.000292,0.0693,0.577,79.0,252296.0,5,2
75.0,0.634,0.63,1.0,-8.277,0,0.031,0.447,0.039,0.17,0.489,118.628,270773.0,4,0
30.0,0.451,0.813,7.0,-9.569,1,0.0462,1.8e-05,0.836,0.0885,0.114,120.551,200627.0,3,3
44.0,0.304,0.953,6.0,-7.701,0,0.128,0.000444,0.862,0.258,0.0865,107.395,185027.0,4,0
44.0,0.429,0.873,5.0,-6.121,1,0.0539,0.00362,0.299,0.111,0.439,79.529,305345.0,4,5
52.0,0.469,0.705,7.0,-5.134,1,0.0458,0.0304,0.0155,0.659,0.137,122.025,350187.0,4,3
55.0,0.261,0.985,8.0,-3.237,1,0.129,0.000187,0.00177,0.316,0.239,159.838,268200.0,3,3
48.0,0.675,0.795,8.0,-6.441,0,0.0323,0.0647,0.00294,0.154,0.905,117.959,158840.0,4,2
61.0,0.529,0.491,1.0,-6.249,0,0.193,0.154,0.1,0.136,0.54,113.996,276893.0,1,2
69.0,0.51,0.696,4.0,-10.83,1,0.0802,0.0157,0.000104,0.297,0.905,176.568,359733.0,4,5
27.0,0.668,0.916,10.0,-8.105,1,0.393,0.876,0.00584,0.169,0.671,124.605,152947.0,4,1
30.0,0.516,0.923,7.0,-5.288,1,0.0345,3.47e-05,0.000145,0.0944,0.541,104.982,200117.0,4,0
25.0,0.581,0.348,1.0,-13.138,1,0.0339,0.48,0.0675,0.263,0.135,112.123,205714.0,4,0
86.0,0.346,0.944,9.0,-9.874,1,0.0485,4.16e-05,0.565,0.0546,0.403,179.63,147036.0,4,0
47.0,0.517,0.98,7.0,-4.011,1,0.102,1.97e-06,0.00191,0.0758,0.0422,110.023,274827.0,4,3
53.0,0.616,0.824,6.0,-3.646,0,0.128,0.00658,0.0257,0.3,0.206,125.024,205208.0,4,2
87.0,0.542,0.732,9.0,-5.956,1,0.0521,0.00209,7.92e-05,0.496,0.489,124.912,175644.0,4,5
42.0,0.566,0.577,4.0,-5.868,0,0.0292,0.00449,6.32e-05,0.386,0.217,109.938,452080.0,4,3
52.0,0.554,0.449,2.0,-7.17,1,0.0336,0.0245,1.65e-06,0.257,0.441,137.946,290556.0,3,5
51.0,0.632,0.562,7.0,-7.794,1,0.0248,0.44,0.000911,0.153,0.297,97.991,280813.0,4,0
28.0,0.628,0.722,6.0,-4.396,1,0.0269,0.0357,0.249,0.307,0.721,118.808,246907.0,4,0
30.0,0.492,0.884,1.0,-11.061,0,0.0909,0.000653,1.14e-05,0.317,0.149,135.073,297165.0,4,3
55.0,0.447,0.979,4.0,-4.129,0,0.118,0.000893,0.00125,0.393,0.17,109.056,267649.0,4,5
65.0,0.673,0.808,9.0,-6.183,1,0.0491,0.0121,0.878,0.037,0.303,130.041,336280.0,4,0
56.0,0.458,0.98,1.0,-3.651,1,0.0808,0.000205,6.29e-05,0.127,0.4,118.964,258333.0,4,5
40.0,0.512,0.849,4.0,-4.444,1,0.0723,0.00701,0.000406,0.0975,0.329,137.969,224711.0,4,3
